Organism Group,Name,Name Link,Taxonomy Link,Growth Media Links,External Links
Bacterium,Blastochloris sulfoviridis DSM 136,/strains/view/DSM 136,/taxonomy?level=species&item=Blastochloris sulfoviridis,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-136', 'https://bacdive.dsmz.de/strain/6162']"
Bacterium,Rhodoblastus acidophilus DSM 137,/strains/view/DSM 137,/taxonomy?level=species&item=Rhodoblastus acidophilus,['/medium/26'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-137', 'https://bacdive.dsmz.de/strain/1798']"
Bacterium,Rhodoblastus acidophilus DSM 142,/strains/view/DSM 142,/taxonomy?level=species&item=Rhodoblastus acidophilus,['/medium/26'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-142', 'https://bacdive.dsmz.de/strain/1799']"
Bacterium,Rhodoblastus acidophilus DSM 145,/strains/view/DSM 145,/taxonomy?level=species&item=Rhodoblastus acidophilus,['/medium/26'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-145', 'https://bacdive.dsmz.de/strain/1800']"
Bacterium,Rubrivivax gelatinosus DSM 149,/strains/view/DSM 149,/taxonomy?level=species&item=Rubrivivax gelatinosus,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-149', 'https://bacdive.dsmz.de/strain/17934']"
Bacterium,Rubrivivax gelatinosus DSM 151,/strains/view/DSM 151,/taxonomy?level=species&item=Rubrivivax gelatinosus,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-151', 'https://bacdive.dsmz.de/strain/17935']"
Bacterium,Rhodobacter capsulatus DSM 152,/strains/view/DSM 152,/taxonomy?level=species&item=Rhodobacter capsulatus,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-152', 'https://bacdive.dsmz.de/strain/13807']"
Bacterium,Rhodobacter capsulatus DSM 155,/strains/view/DSM 155,/taxonomy?level=species&item=Rhodobacter capsulatus,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-155', 'https://bacdive.dsmz.de/strain/13808']"
Bacterium,Rhodobacter capsulatus DSM 156,/strains/view/DSM 156,/taxonomy?level=species&item=Rhodobacter capsulatus,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-156', 'https://bacdive.dsmz.de/strain/13809']"
Bacterium,Rhodobacter capsulatus DSM 157,/strains/view/DSM 157,/taxonomy?level=species&item=Rhodobacter capsulatus,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-157', 'https://bacdive.dsmz.de/strain/13810']"
Bacterium,Cereibacter sphaeroides DSM 158,/strains/view/DSM 158,/taxonomy?level=species&item=Cereibacter sphaeroides,"['/medium/27', '/medium/J26']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-158', 'https://bacdive.dsmz.de/strain/13812']"
Bacterium,Cereibacter sphaeroides DSM 159,/strains/view/DSM 159,/taxonomy?level=species&item=Cereibacter sphaeroides,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-159', 'https://bacdive.dsmz.de/strain/13813']"
Bacterium,Cereibacter sphaeroides DSM 160,/strains/view/DSM 160,/taxonomy?level=species&item=Cereibacter sphaeroides,['/medium/27'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-160', 'https://bacdive.dsmz.de/strain/13814']"
Bacterium,Rhodopila globiformis DSM 161,/strains/view/DSM 161,/taxonomy?level=species&item=Rhodopila globiformis,['/medium/25?strain=106'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-161', 'https://bacdive.dsmz.de/strain/59']"
